bisentiment,cleaned_review,words,sentences
0,"people  robocop 3 film big disgrace robo series . fan  people hate shameless commercial pg 13 approach .  go robocop 3 good . frankly  pretty suck . far properly shoot execute film  surpass piece circuit chaos . yes  truth matter robocop 2 bad bad unnecessary sequel near masterpiece . robocop 3 turn robo cartoonish super hero ultra mainstream production kid enjoy openly . know robocop 2 begin end  know  understand go  understand joke deliberate  insane try understand character  value anybody say  believe anybody look shoot script figure work believe irvin kirshner see finished result figure like . probably way  miller  weller allen . hard why.now  robocop 2 fan  know . belong league absolute anti pretension  dismiss anybody expect depth  subject matter film  academic roger ebert sith apprentice . lot fun  good piece action great entertainment  argument go . yeah  guess listen character say fool arnold suit instead weller . wrong  like good action film  pure entertainment value satisfy virtue . robocop 2  sir  ai thing.look couple scene . horrible actor make robo repeat machine  go operatic speech man  murphy wife  sue ocp robot stalking  walk blue sad little moment  hear ! surely like film scene scene  kind absurdity . like year old fan boy screenplay  character act totally random  . ocp want stop crime new robo  especially drug call "" nuke "" want big capitalist empire control entire city  politic abandon guess  understandable give comic relief mayor  villain  play tom noonan  well version action hero say lot  addict  machine . woman agenda impossible understand.speake year old  film infamous role "" hub ""  mad kid swear kill people  play child actor . go moral  free world want psycho kid action movie  . know frank miller original vision  credit acknowledge conceiver "" story "" .  zoom  cool character . grim sure  maniac killer kid world robocop surprise ? business ocp try giant monopoly  properly dystopian good .  idea robocop get touch wife kid  have embed story great  far natural logical step robocop sequel.but  course  idea . people say  screenplay 100  mess . kid scene  torture scene  hint fact stereotype mess kid  unimaginable scene die get soft friendly old tin head . uzi try breath ? character ? life little second thought death bed ? necessarily  give word "" suck ""  ? make sense  say everybody   film . strike police force ? robocop machine man ? deal turn robo community service machine 10 minute ? mean  sure  pretty funny deny . build  discard ? hell allen criminally underused ? weller obvious urge express character yeah   thread mess enormous.this review mess film . reason extra star actor film  sure good intention . mean somewhat stable  kind anchor sea bad movie making .",520,45
1,"marriage maria braun  mmb  german girl  maria  get married german soldier  herman braun  end war . married half day night  herman send . end meet  maria start work bar mainly american soldier know black soldier . get word herman die  thing develop american soldier . herman walk  bed  confrontation american  maria kill american . herman admit murder  end jail maria vow wait . country shamble  see people leave busy cigarette . food shortage . short  time survival fittest .  br basically film project maria attitude attitude permit mention circumstance  metaphor germany loss soul lose war  proceed rebuild . example  maria follow conversation peddler  play fassbinder   peddler try sell excellent copy kleist remark "" kleist burn quickly  provide heat cold "" . peddler answer "" way look . right  probably correct way "" .  br maria meet french  german business man  karl oswald bargain way class train compartment . decide involve karl  "" have affair  having affair "" . take responsibility company  complete trust firm . karl say "" suppose wait miracle "" reply "" prefer make miracle  wait "" . word  "" mata hari economic miracle"".in lot fassbinder film try expose psychological process lie social mechanism  freud   word  like point camera bullsht  false social mechanism  pretend . direct approach maria take film successful convey ideology . example  phone karl pick phone request straight point "" need sleep "" . fassbinder say "" emotion people feel exist kind sentimentality thought need properly function member society "" . remark film anti emotional .  br i particularly like scene karl maria meet munich restaurant  apparently  frequently visit hitler  . maria appear control karl bit  maria ' brutal honesty ' wear  completely situation anymore . karl say "" tell love life "" . maria reply "" life . sign contract enjoy life . eat talk food "" . guess fassbinder attitude relationship  submit completely .  central matter film "" love society  commodity  instrument power  weapon . ""  br it remark typical fassbinder scene maria betti walk expensive dress ruin war clothing essentially wrong period . think want portray attitude  feel bad  "" face day look great "" .  fassbinder interested perfection . mistake film correct project . complete film  approximately 4 year  way people roll cigarette  peculiar film bad scene . peter marthesheimer  write script  mention fassbinder likely dream scene maria american park  overnight .  br hanna schygulla brilliant maria .  stare bluntly camera . maria word "" bad time emotion .  like like "" .  br there different opinion end . karl die hart attack  herman finally show .  herman leave australia get prison  "" human "" .  testament deliver  herman half   maria forget close gas stove light cigarette  blow herman . obvious accident . time  rattle dream finally come true . feel anymore . feel outlive .",535,48
1,see exterminator year 3000 time  expectation movie .  bad thought . kind italian version roadwarrior  cast  famous italy  include venantino venantini . story elisa briganti dardano sacchetti  responsible story zombie flesh eater . link italian horror movie  luca venantini play role tommy  kid paura nella citta dei morti viventi  city live dead aka gate hell  john robbin cannibal apocalypse role mary brother . entertain movie  dull part .,79,7
1,big rock candy mountain amazing . watch little  day.senior high school  . imagine heaven  look like . wish live big rock candy mountain candy grow tree . zach hyman profs  good friend . little bunny foo foo man . fuzzy colorful dream night . fact  friend 18 recently watch time absolutely love . recommend people age watch movie . have huge party weekend friend watch incredible movie . go order pizza watch teddy bear giggle . constantly find watch cloud wish little girl get visit . thank . bye .,95,14
0,"film gap exist real world world dead . lot mumbo jumbo internet  i.e.  install program computer  dead folk like play videotape die ringu  . frankly  silly lose . find interesting idea dead live separate existence totally eternity . sober fascinating.i love japanese film see huge number compare americans .  genre popular recent year relate horror film . know super popular especially remade state . see ringu ring  ju grudge ambivalent despite popularity . recent horror film like japan seance rework great british film  seance wet afternoon .  think  seance different ?  unlike film kairo  gobs gobs money spend special effect try scare audience instead  emphasis story . line film lot like american film like halloween friday 13th scary thing jump scare audience plot purely secondary  good  .  want story cheap thrill ghost primary focus film.with relatively high rating  know minority  find satisfy film .  minor thing occur startle slightly character begin scream cry act "" scary film well start shake "" .  think try hard wish focused afterlife see end film plot progression scare tactic .",196,16
0,"movie element smart  sparkle comedy  reason take dumbass route . know audience  hardly man movie give cast plot  slapstick dumb blonde appeal fully women.if see legally blonde sequel  like bewilderingly awful sequel . great actor luke wilson expect well material . jessica simpson manage . rachael leigh cook penelope anne miller languish support role silly amusing.many thing movie paint number  uber clich montage  minute "" misunderstanding ""  kid ' party chaos . suggest lazy scriptwriting.it possible find movie enjoyable seriously  glare well likely feel frustrated increasingly disappoint scene roll past .",100,6
1,base elmore leonard  violent intelligent action film . story  business man blackmail 3 criminal . roy schieder great job lead character special credit get john glover play sort naughty psychopath . mention villain character complex interesting rare action film . feature beautiful sexy woman notable kelly preston young bate schieder character . vanity give good performance appearance hooker connect blackmailer . glad ann margaret lose lady true babe . look rate film . know public critic film suggestion ignore watch truly grip rate film . enjoy  promise . recommend a .,94,11
0,documentary nomadic persian make treacherous traverse massive mountain herd grass . watch silent  black white feature  mar twink twink twink oriental music score original exhibition  duller sound . spectacular scenery lose small black white screen  utter failure establish kind plot line . love nanook north march penguin  despise movie  notwithstanding similarity theme . physical hardship interesting .,63,5
0,"star cross country runner die race  member track team stalk kill mysterious mask murderer seek vengeance girl death.from begin film  obvious go good  far true quality go  . ' dramatic ' track race end introduction scene believable sporting event see film . winner race actually run entire life . run track . . .  run . .  horribly unrealistic female navy member break numerous appearance rule jewelry  mention fact hair hang loose collar uniform . ridiculously awkward camera angle  pathetically gore effect  act range frighteningly boringly  actor  mind  help film unintentionally hilarious horror film . hand  write terrible story actually okay .  direction horrible  bad offensively bad cinematography . act range acceptable plain abysmal . regardless embarrassingly bad element    cheese figure  make film extremely enjoyable worthy watch . maybe vanna white.obligatory slasher elements violence  gore  death scene fun  gore awful  blood squirt impossible angle  actual gash wound knife  etc .  film ' death football ' scene seen. sex  nudity  bit nudity  mean  linnea quigley    overly horny high schooler  excess. cool killers  think leather glove  stop watch  track suit  fence mask cool  you. scare  suspense  . moment take place girl ' locker room prepare scared . . .  lead typical stupidity ruin me. mystery  little  figure killer identity 20 minute film  sure power deduction. awkward dance scene  great impromptu jam session  "" graduation day blue ""  guitar  harmonica lead awesome 80 bop . follow shortly kind weird blend 70 disco 80 break dancing probably scary film.final verdict  410 . seriously enjoy  like troma touches. ap3",307,25
1,film simply incredible . truly journey eye soul child.i feel important note tale child abuse . rent kid think fun  disney esque film .,25,3
0,movie  despite list b  c  d list celebs  complete waste 90 minute . plot  peak  predictable . silly believe take time write review . flex  credit  grow ability act play michael jackson tv movie year ago . tangi  hand  regress  talented role felicity flunkie year ago . sit watch train wreck film  pitiful production horrible sound quality  letter word come mind qualify think film .  effort writing g rate  simply film letter word start l. lame ! ! !,94,7
0,corey haim play kid team dog giant troll osa hit man  michael ironside  3030 homemade bomb  play plausible consider haim  oh protect mother girlfriend watchable disappointing adaption decent story . corey haim terrible  course movie sheer momentum ironside impose presence modestly effective film . plot ridiculous nicer see monster gore . different . fairly likely film teen movie awhile teenager make pipe bombs.matt bronson 25,70,6
0,"view film  feel compelling need vent bit frustration . selma blair fabulous  currently underrated actress max beesley charming "" kill later "" . story  exactly original  certainly show promise . matter . all.i know deal  director dana lustig virtually talent whatsoever director . slow footage  speed footage  reverse footage  awkward camera angle  annoying color filter  zillion quick cut  jump forth timeline top obnoxious "" modern "" soundtrack blaring junk . remember time see incompetent job direct film . ego huge toss acting story direction center audience member notice . cram throats.there couple good scene "" kill later "" . unfortunately  thing start promise  ms . lustig dig bag film school trick jumble thing . shame blair beesley good chemistry tell film good heart . 310",138,13
1,"kid movie  great . adult mother  enjoy watch movie daughter . lot go movie . follow   consider  spoiler  . barbie learn courage learn judge quickly movie . learn hope master anger . love sense teamwork watch barbie sister friend solve puzzle . movie find offensive inappropriate young viewer . fact  feel moral message movie superb done.the animation pretty good . enjoy ice skate scene think . lot action film  suspect kid enjoy . one barbie . daughter actually pick pegasus . love horse . enjoy movie . daughter autistic  able sit movie enjoy . like action scene part horse involved.one thing think people object barbie  ken  beautiful .  think kid  like adult like look beautiful people thing . natural . adult  enjoy watch beautiful movie star . wonderful  barbie character "" boyfriend "" lot personality . fun watch pretty people  grow old substance pretty face.overall  great movie kid parent enjoy  . ",168,22
1,think pauly shore good stuff  play perfect . enjoy movie  patrick renna funny zack annoying little brother . son law good comedy worth time  thing wish tiffany thiessen farm chick instead .,35,3
1,""" planet "" astounding piece film making . mere  8000 stirton production turn original sci fi film long time.starre physically intimidate mike mitchell  film mix great special effect  strong storytelle plan action . open space battle  pound finale  film appear budget.to start special effect  certainly "" revenge sith "" standard  level   like babylon 5 farscape . snip price . detail movement superb  capture imagination . design  ship  weapon  entity second . imagination creativity involve real surprise film budget.another surprise strength story  arc take . twist turn  write script  surprising play . surprised  year making imagine 15 year ago  relevant aspect story today society . happening world  certain resonance length mercenary force order survive.even sound effect spot  atmospheric music . use light costume add professional look . balmedie beach aberdeen look desolate lonely place.in honesty film look 10  100  time budget spend  testament creative  hard work team people  director  cast  effect producer sound team . wonderful effort  recommend hand copy asap",187,13
1,actually vote 7.5 .  movie good  funny part deserve  misunderstand  funniest movie world  original idea see movie  taste  friend tell film boyfriend . think exactly care ? movie topic  chris rock appear  earth  man  funny movie  want know agree mr . rock win movie . like protagonist male character give ashton kutcher   film good .,68,4
1,good movie  great story  great character  enjoy immensely  buy dvd come .  br the real life story purport tell fascinating engross fictionalizer come . friend medium business say insider dealing like  give business bad . if.there problem dvd   sound volume awfully low run tv volume watch . notice like hbo run original production copy . second  minute leave video cut  picture cut inch short left . minute fill screen properly  leave right . sloppy technical production like amateurish know director producer let sloppiness slide by.still  technical flaw  enjoyable story  hbo good think .,106,8
1,gandhi father like view book  chapter chapter read itwith eye  learn harilal gandhi matter kasturba gandhi . little know movie describe uniquely . title mislead  movie mohandas karamchand gandhi son  harilal mother . akshaye khanna shefali chayya justice respective roles.such movie like leap year . come time.gandhi father  internal struggle  difficult freedom struggle undertaken.watch  like quality cinema .,65,5
0,becky harris play female shopper misfortune store wrong time obviously purpose film supply reason wear remote control ! miss harris fifty old come scene . red haired thug apparent aarp queen . fine asset display celluloid  want clue . absolutely breathtake opinion literally wear vhs copy capturing charm . like know movie available dvd.the rest movie worthy mention . hope fairly convincing intelligent  disappointed count . god bless becky harris !,73,8
1,4th pokemon movie cry celebi die . dare pokemon suck ! like people . like pokemon 5 6 year  enjoy pokemon  include movie pokemon movie .  ado  pokemon great enjoy people age .  pokemon hater low rating pokemon movie ? understand . . absolutely reason people vote prove pokemon suck fact  1  pokemon little kid . 2  pokemon stupid . 3  people like pokemon . think people like pokemon .,79,11
1,"enjoy albert pyun "" nemesis "" cheesy action semi complicated script . lot people complain "" confusing "" plot film  probably "" nemesis 2  nebula "" dumb rock plot super action carry through.this give movie hero  alex  bulk super female send past save future . raise tribe africa . good portion film dialogue african tongue subtitle  like somewhat authentic  movie genre try ?  . long evil cyborgs time travel time find try kill her.don't wrong  piece crap  great  . subplot involve africa political unrest  treasure hunting  tribal combat . picture short brain  thing get good treatment . picture basically draw fight chase boil muscle babe vs. cyborg . entertainment value  expect quality  movie .",129,9
0,. finally movie come honestly bad larry cable guy  health inspector . willing bet wayan brothershilarious  money life sure bad film time  outside fifth grade outside class enactment romeo juliet . mean movie pay . comedy weak remotely funny joke flimsy plot surely reveal commercial . final word movie terrible letdown . commercial look promise .,59,7
1,"give rating "" 9 ""  expectation high film deliver . happy deep diving diver  suppose portray life carl brashear . film angry beginning  happy end .",29,3
1,"pleasure screen "" big bad swim "" 2006 new london film festival week . festival highlight well independent non mainstream film past year . assumption "" big bad swim "" choose screen festival simple reason shoot locally eastern connecticut .  credit begin roll think "" big bad swim "" compare featured festival . far topped list  follow "" puffy chair ""  "" kill electric car "" "" transamerica"".the "" big bad swim "" engaging  truthful humorous look adult education swim class pupil likable troubled instructor depth see screen . interweave character development plot line derive absurd adult swimming lesson work subtle endearing way find refreshing . plot beat head direction  build grow organically pace spot . bore . cringe . step story screen.the humor film like "" napoleon dynamite "" meet "" old school "" . act group relatively unknown actor credible dialog awkward contrive . obviously multi million production camera shoot awe inspire clear  adequate budget . light film technique scene film strip club set particularly eye catch realistic approach similar themed scene find "" close "" . find shot film underwater class waist portrait character shot shoulder be.i sure say independent film industry   "" big bad swim "" pick kind distribution extremely disappointed . "" big bad swim "" need see . chance film  ! disappointment impossible !",228,18
1,ready  favourite film time . relatively unaware david mamet  writer director  work having watch film half dozen timesit joy watch   hesitation genius . film extremely write  quickly draw milieu deceit  con artistry room hustle . feel film similar sting  1973  pay homage film noir.it psychologically complex film definitely think plot twist motive shady character . slightly predictable time shock climax exciting watch.generally  act superb especially joe mantegna watch film remark good idea heroine  lindsay crouse  gambler  smoker thief sport bad 80 hairdo . agree  think outstanding role.the know plot film  well  like mamet recent film  spanish prisoner  end impressive . sit prepared take ride movie come dangerously close brilliance .,127,8
1,film tend bury prejudice preconception remake ! doris day ! sing ! hitchcock second crack ' man know ' rate film  arguably fully fledge masterpiece right.this  way  doris day film . fine performance career  hold james stewart  film subtly structured character .   film music motif plot device . well cast popular singer generation ? consider  day jo mckenna give career stage order settle husband raise son . mutual decision  appear unhappy . look way stewart tease horse draw carriage concern louis bernard  imply jealous bernard ask question career . clearly recurrent joke respond ' har de har har ' denote familiarity gag  suggest certain latent resentment confinement  realise it.after son kidnap  stewart insist dope give news . cruel scene  brilliantly play actor  illustrate power imbalance marriage seek control subdue reaction  essence professional knowledge suppress voice marriage medical career suppress singing career.the potency voice demonstrate ambrose chapel sequence  reign highly train clarity volume blend congregation female drudge act warning continue suppress talent . albert hall  need cry  exercise impressive lung  save man life  embassy finale  talent reputation allow locate son . contrast  stewart masculine activity counterproductive visit taxidermist dead end  get leave church whilst moves albert hall  effort succeed get assassin kill  deprive police potentially useful information . action join wife voice  rescue hank embassy  actually succeed useful.far force film day opportunity sing  ' que sera sera ' act musical device film  foreshadow nightmare engulf mckenna  ' future ' . neatly prepare way finale  close bond mother son share music allow doris save day.the famous sequence film make music central feature build assassination attempt albert hall . lengthy wordless sequence single extraordinary thing hitchcock commit film  ultimate expression belief film story tell visually . people conduct conversation sequence  hear word . need image . exquisite suspense sequence  piece move slowly place music build . edit incredibly tight  match music perfectly . frame place relate directly assassination give view sense environment  geography playing . build slowly  end suspense nearly unbearable . jo screams  relief  audience.the ambrose chapel sequence witty  particularly effective sit service particularly stick mud nonconformist church . embassy sequence little flat albert hall precede view  second time actually effective  final walk gunpoint benefit gorgeous use day singing background  reminiscent music ambient noise ' rear window ' . score subtle  allow music screen source foreground effectively.bernard mile low key villain  little banal  dry wit . outshone brenda de banzie wife  walk fine line sinister sympathetic . look way smoke cigarette whilst husband preps assassin stance pure gangster moll  belie middle england exterior  clearly soft  possibly maternal feeling hank.stewart excellent  hitchcock cast ' everyman '  director daughter think  confirm hitchcock cynical view audience . stewart play hypocritical intellectual espouse fascist ideology rope  voyeur mistreat girlfriend rear window obsessive necrophiliac vertigo . day short phenomenal . look reaction news son kidnap overdoe  sell short . hitchcock emotionally effective film . let forget stake mckenna  feel fully human central character .,543,33
0,"half hour o'neill play get boil little  run time devoted actor frozen expression face read character ' thought voice . work onstage  look hilariously stilte soap opera adaptation  soft peddle heroine bad behavior explain captivate man . norma shearer alexander kirkland  overact ludicrously  outclassed naturalistic clark gable make frozen face technique work . get funny shearer gable son  surly moppet  frozen face shtick . frank morgan brother ralph unsuccessful suitor  give soliloquize "" poor charlie ! ""  young robert young maureen o'sullivan . time  voice over largely abandon  play ripe soap  sentimental fadeout actually play "" silver thread gold "" background music . robert leonard direction stodgy show little facility rein hyperactive actor . certainly entertaining like  count groucho satirical parody "" animal cracker  "" old mad magazine satire render shirley booth sitcom "" hazel "" la "" strange interlude "" . good .",158,10
0,"high expectation movie  title  translate  "" rid ""  .  concept great  near future rule elite take consequence right wing government constant verbal legislative persecution call freeloader leave wing general  decide kill prove contribute establishment  establishment call "" common good ""  actually mean interest rule capitalist ideology.very cool idea ! ideal bite satire !  movie completely blow chance . satire come scene performance absurdity  satire sustain  sharp witty . allege comedy  movie nearly funny scene . comedy  assume  suppose absurdity situation  situation largely uncomfortable  evoke laughter thought.the script rife grave error disposition . action focus political aspect wrong thing  instead oodle time spend young woman write new law fun  try save everybody  organize resistance ship people africa . point ! movie like pretend ! satire ! political statement . begin actually address problem suppose . maybe afraid go far ? cowardly . art . real satire.sren pilmark  denmark absolutely senior actor  good . largely carry little entertainment value movie . everybody  special   lene poulsen  supply convince performance.in fact  problem danish movie language sound natural . formulation delivery . difficult sound right ? stilte artificial ? hope  people look movie year  think people talk general danish society.3 10 .",225,23
1,see movie theater vacation pablo co. quit biomedical engineering job hospital . consider script exaggeration real type stuff go hospital .  br the idiot production value point probably hospitalize . work sure . billy jack  era  poorly produce significant social comment good movie real social message.i look movie site find mention .,55,5
0,know original psycho classic remake mistake  especially shoot shoot remake . think prove rest comment . far wrong movie that.the problem color . original film shoot black white  people realize  original shot color film invent . choice black white film partially budget concern  stylistic choice hitchcock .  remake redone black white  color movie wrong . predominant colors film orange green  particularly marion suppose flashy character . bright color look like happy movie  horrific event place color scheme  look like cartoon audience incline laugh scream.the second problem light . dark dark tale highlight dim lighting  remake fail opposite direction . scene brightly light  times illogical night!another obvious problem vince vaughn performance . yes  pull norman bate awkwardness madness  deny . element character fail  softness . certain deceptive friendliness character   fade away realize truth . character trait norman bates  recognize character trait psychopaths!!!!there good aspect film . performance great . say  vince vaughn come close pull decent portrayal norman bate . viggo mortensen juliane moore great chemistry different character original  welcome change . anne heche atrocious  unlike janet leigh untruthfully advertise big star film  anne heche give billing opening credits.i read cover copy psycho novel gus van sant claim remake hitchcock film new adaptation original novel . wish buy book save comment  see film  comment possibly funniest thing see . attempt film disguise fact rip original  far believable van sant try tell ton ape planet zafroomulax . shot copy exactly actual thought hitchcock compose original shot way . scene sam lila talk face entirely cover shadow . hitchcock cover actor ' face shadow think bad actor want hide face awful performance  artistic stylistic purpose.in word  review pointless movie replicate say . like  reccommend waste time film original .,312,24
0,walk book store brentwood  tennessee . go dedicated customer . satisfied item purchase . display store bell witch haunting .  mention store see sale .  hear story remember suppose happen real . excited wait watch . great expectation . believe see view . look like real movie . look like home video . impression suppose horror movie . mean movie suppose witch haunting know . horror movie . jump seat watch movie . give movie chance world well go . swear . well . scene little kid get poop pee throw . find entertain . watch movie disbelief store actually sell . guess bad economy get . cast crew . film material film job . . mean sincerely . commend try . people buy . . sell copy . upset . nice day .,137,31
0,movie terrible acting  terrible plot  terrible choice actor .  leslie nielsen . come ! ! !  consider slightly funny battle fbi  cia agent  audience mainly kid understand theme .,35,3
0,"film give new meaning term "" uneven ""  give intriguing characterization offset awkwardly realize plot rely place stinger deliver majority thrills.the plot concern group man harbor secret cause curse visit form ghostly female apparation cause death . seduce sons.it spectacle notable veteran actor film  unfortunately convincing  particularly scene melvyn douglas go deep end beg listen . shock actor play character youth terrible  especially giggle ricky . deliver bad "" gee be not drunk "" scene watched.the movie saving grace  dick smith great ghost makeup  misplace film   alice krige fascinating performance alma  eva . read novel film take  intend read review page . read book   realize shadow original tale . good story  lose  amid exposition show man have nightmare make unsubtle reference secret share .  br as stand  appear half hour footage remove print  particularly near climax . . fred astaire manage mount excavation pond quickly ? gregory bate kid eva ? . hell  ? let car cause apparition disappear ? apparition  sex man know?these question answer  film . restore footage discover  probably forever remain curiosity ooze makeup  bizarre sex scene nudity  attractive performance .",205,16
0,buy tower record see info mercial time comedy central . actually look forward watch . god wrong ? review let person pretty find good movie  hell 1500 dvd ! say  underground comedy movie rank bad film see . try chance  funny . point  offend stupid . god right mind think piece crap funny ? go right bin .,62,10
1,"read movie  especially contain spoiler  . watch awesome movie know great experience . like intelligent  twisted story   dvd truly disappointed . "" cypher "" sci fi movie  psycho thriller settle environment globalize business . corporate secret  big company spy research department method . actor great performance overall visual style movie provide perfect mode coldness . cypher deeply  complex belong story end  satisfy vincenzo natali movie "" cube "" "" "" . actually good movie see  fifth flick  . sorry  tell movie risk hurt experience . chance .  ",99,10
0,displeased . terrible start . comedy unhumorous  action overdone  song unmelodious . storyline weightless . writer write successful script like guru dhoom  high expectation . actor work way hard help film . course  kareena rock screen bikini second . think hindi stunt director research action movie . tend exaggerate way . chinese film  style work signature piece .  hindi cinema signature song . good action movie hour look unrealistic .  future  sure action movie sharper . note  comedy action film mix properly . good luck time .,96,15
0,"guess public domain dvd .  feel good propaganda movie show wartime aussie audience  consider retell tobruk . half 34 dry stuff set australia  guess like american war film recruit get  oh man soooo long . africa tobruk  pretty bad  low budget stuff . battle scene dvd copy watch completely black .  prepare use fast forward doubt minute . enjoy cheesy italian "" battle el alamien "" lot  richard burton african theater war flick good "" desert rat ""  movie real period piece stay time  hold today  doubt highly regard  . thing american counterpart war flick personally aussie  love australia  twice !  .",117,9
1,""" scoop "" easily woody allen funniest film 2000 far . allen  finally look age  game low brow magician sidney waterman . liner demeanor hilarious . let critic sway opinion . "" scoop "" notch "" woody lite "" picture .  br the classical music score excellent compliment action screen . scarlett johanson look gorgeous bathing suit . jackman dash . cinematography glow . "" scoop "" wonderful escapist fare start finish . shoot film worth admission price .",82,11
0,"movie start spring 2001 . soldier name john tyree  channe tatum  fall love college student savannah cutis  amanda seyfrie  break . space week fall madly love  !  . war college . touch writing . 911 happen . want reenlist want stay home . ?  br hysterically bad romantic drama . lead attractive tatum certainly handsome man beautiful green eye hot body  introduce walk shirtless water surfing  . act . seyfrie beautiful woman try . dialogue horrible . see friend fight hard laugh loud "" romantic "" dialogue beginning . horrible . hour bore ridiculously predictable drama amuse horrendous "" romance "" .  hour  tragedy kick  admit  tear . filmmaker way sure cry death  funeral meeting people break tear . cry ? work act well . tatum face change expression ! blank look face . seyfrie little well . bad tatum seyfrie sexual chemistry screen ! barely look like like let love . beautiful photography carolinas bore stupid romantic "" drama "" . 1 way . usually love silly romantic drama like !",186,25
0,new york  love  title manhattan  love look people love  precise example difference tell story tell situation . case point  look segment film  ethan hawke light cigarette woman street proceed chat obnoxious sexy talk  orlando bloom try score movie incredulous demand director read dostoyevsky book . great story stretch  beginning  middle end  composer try score  get dostoyevky dump lap  end get help  maybe  girl talk liaison director . ethan hawke scene   like  feel like  like fluke add directed filmmaker phone   matter  hawke combo sunrise reality bites.what irksome film overall see story work possible ' story ' rest situation unfold connect overlap  i.e. bit involve bradley cooper  drea dematteo  hayden christensen  andy garcia  james caan  natalie portman  etc  . film set practically  manhattan  new york queens staten island bronx    harlem washington heights lack good deal diversity  . lack imagination find spade  well bad  paris j'taime . get little new york  pass reference  bad  julie christie  shia labeouf segment  incomprehensible level appalling.so  basically  wait tv  good dip film   scene  aforementione bloom  christina ricci segment charm  brett ratner direct segment  yes  x man 3 brett ratner  funny story teen take girl wheelchair prom come great big twist  eli wallach cloris leachman adorable old couple walk brooklyn 67th wedding anniversary . miss  natalie portman directorial debut  return hughes brother   allan  screen . mixed bag put lightly  like have search bag mix nuts crappy peanut find almond leave .,287,10
1,like . . like  like animate series . love ! ! ! . fact appeal try compare appreciate  cartoon awesome  like . people talk bruce cold  5 year later  anybody crime fight gang angry dark attitude  flaw . batgirl awesome fit  dick grayson robin  batman need good teammate  like new robin  child not rely child . here work  new artwork . horrible . does'nt work series like batman . dark character  maniac killer like joker  not kind artwork cartoon  joker bad design like past joker  good joker appear batman  return joker   joker near good . good thing joker mark hamil voice . favorite character  harley quinn  m love  awesome episode  mad love  good episode series  . finally know turn harley quinn  joker twisted mind  feel atmosphere feel animate series  dark  happy ending  brutal fight joker  short   series . general like harley series . episode funny ridiculous way  punch  nonsense  flaw . c'm funny way laugh  . ridiculous  like say episode think mad love beware creeper  general good series  upside down  draw well  good ! ! ! kill catwoman ! ! ! !  nice sound effect  nice music  nice voice nice episode  favorite  mad love  joker million  old wound  sin father  cold comfort . enjoy batman  ta watch spec  hand watch ta  watch watch ta way go to love ta  d,272,17
0,"anybody high ' 1'?i think "" mano  hand fate "" forever bad movie impinge optic nerve .  think worse.i wrong . "" galaxina "" rare movie single element achingly  agonizingly  blindingly bad . watch movie comment  "" hell light thing ? "" light soundtrack effect script acting cinematography . . .   movie absolutely unendurable . bad  tell time bad comedy bad drama seen.it bad laughable . soon eat platefull break glass sit .",80,8
1,"thriller twist turn edge seat . see video  landscape "" bluff "" bit spectacular big screen . cast sandra bullock  ben chaplin  "" truth cat  dog ""   michael pitt  henry parker "" dawson creek ""  ryan gosle  ? ? ?  .",50,3
1,way subject avoid cinema eat disorder . film show . glamourise viewer enjoy  show real truth make powerful . see year ago remember feel . powerful film good support suffer eat disorder willpower stop . film about help people glamourise thing wrong .,44,6
0,"know miss  believe positive comment people film . think silly  bit . like performance gregg henry michael rooker  . boring.now like b movie   bit alphabet . see compare humor horror "" army darkness "" "" shaun dead ""  "" par animator "" . joke . find film funny  try  effort   possibly effort   fail opinion . time hit 3rd 4th liner roll eye check watch.there definitely homage film  cool  kind like inside joke horror fan . lack original thought . admittedly nice special effect  good gore  carry entire movie . mutate grant look like cross jabba hut  early stage mutation chet "" weird science ""  turn monster  alien creature  child "" explorer "" . work . think look like kid grade 5 art class design . brenda  woman grant impregnate chain barn . help finally arrive look like giant tick waiting pop . design totally unimaginative . round flesh color balloon face middle .  yawn   br now zombies movie zombie day wish george a. romero patent writer  director allow movie . person far right  exception edgar wright simon pegg  comedy  . oh  danny boyle  different style zombie . maybe mr . romero ruin zombie film ingenious ability actor moan  groan shamble joint dry lack drop synovial fluid  muscle fight effect cause rigor mortis start set right animate . people "" wheelsy "" proper motivation . horrible zombies.so end "" slither "" 3  couple laugh nice gore scene .",266,22
1,review submit refer young actress lead katerina veronika . involve character action guess concerned name .  film brilliant . say  cinematography director use montage worthy eisenstein cameraman  tisse ' . production design notch . placement actor foreground  middle ground background give mise en scene worthy study . stunning  memorable camera movement  end emotional punch leave hollywood film far . gee ! heroic self sacrifice instead walk rainbow . thank  john hart,78,10
1,sam kleinman  peter falk  come son place unexpectedly.his son ben kleinman  paul reiser  surprised hear mother  muriel kleinman  olympia dukakis  leave father.ben wife  rachel  elizabeth perkin  sister try find muriel ben father farmhouse sale.but end journey.their road trip turn long therapy session ben father.raymond de felitta director thing folk  2005.paul reiser screenplay remarkable job.the dialogue ben sam amazing.and work script year wonder good.who well man play father peter falk ?  tell that.and love story paul want peter falk part.peter actor father laugh.and peter certainly laugh movie.it hilarious fishing.and old guy beat young game pool beat stick.the movie funny find laugh times.but touching time time.you tell story well tell .,121,4
